 2074861 | 16Bm07 Jan 29 02:25:17 17 | 17AP30 Nr0074_2  | 12:28:38.4  30:19:58 2000 | 157 | r | 1.13 | 0.68 0.69   363 |    OG11 |   OB221 |P 1 V Q R|
 2074862 | 16Bm07 Jan 29 02:27:45 17 | 17AP30 Nr0075_2  | 12:33:07.2  30:19:58 2000 | 103 | r | 1.13 | 0.62 0.64   239 |    OG11 |   OB224 |P 1 V Q R|
 2074863 | 16Bm07 Jan 29 02:30:10 17 | 17AP30 Nr0076_2  | 12:37:36.0  30:19:58 2000 | 100 | r | 1.14 | 0.62 0.64   234 |    OG11 |   OB227 |P 1 V Q R|
 2074864 | 16Bm07 Jan 29 02:32:35 17 | 17AP30 Nr0077_2  | 12:42:04.8  30:19:58 2000 | 100 | r | 1.14 | 0.60 0.62   235 |    OG11 |   OB230 |P 1 V Q R|
 2074865 | 16Bm07 Jan 29 02:35:06 17 | 17AP30 Nr0078_2  | 12:46:33.6  30:19:58 2000 | 107 | r | 1.15 | 0.73 0.74   247 |    OG11 |   OB233 |P 1 V Q R|
 2074866 | 16Bm07 Jan 29 02:36:21 17 | 17AP30 Nr0079_2  | 12:51:02.4  30:19:58 2000 |  30 | r | 1.15 | 0.77 0.78    70 |    OG14 |   OB236 |P 1 O Q R|
 2074867 | 16Bm07 Jan 29 02:37:37 17 | 17AP30 Nr0079_2  | 12:51:02.4  30:19:58 2000 |  30 | r | 1.15 | 0.74 0.75    69 |    OG14 |   OB236 |P 1 O Q R|
 2074868 | 16Bm07 Jan 29 02:40:02 17 | 17AP30 Nr0079_2  | 12:51:02.4  30:19:58 2000 | 100 | r | 1.14 | 0.73 0.75   228 |    OG14 |   OB236 |P 1 V Q R|
 2074869 | 16Bm07 Jan 29 02:42:35 17 | 17AP30 Nr0080_2  | 12:55:31.2  30:19:58 2000 | 108 | r | 1.15 | 0.69 0.70   245 |    OG14 |   OB239 |P 1 V Q R|
 2074870 | 16Bm07 Jan 29 02:45:14 17 | 17AP30 Nr0081_2  | 13:00:00.0  30:19:58 2000 | 114 | r | 1.15 | 0.60 0.62   263 |    OG14 |   OB242 |P 1 V Q R|
 2074871 | 16Bm07 Jan 29 02:47:52 17 | 17AP30 Nr0082_2  | 13:04:28.8  30:19:58 2000 | 111 | r | 1.16 | 0.71 0.72   252 |    OG14 |   OB245 |P 1 V Q R|
 2074872 | 16Bm07 Jan 29 02:50:34 17 | 17AP30 Nr0083_2  | 13:08:57.6  30:19:58 2000 | 116 | r | 1.16 | 0.67 0.68   259 |    OG14 |   OB248 |P 1 V Q R|
 2074873 | 16Bm07 Jan 29 02:53:25 17 | 17AP30 Nr0084_2  | 13:13:26.4  30:19:58 2000 | 124 | r | 1.17 | 0.75 0.77   281 |    OG14 |   OB251 |P 1 V Q R|
 2074874 | 16Bm07 Jan 29 02:56:01 17 | 17AP30 Nr0085_2  | 13:17:55.2  30:19:58 2000 | 111 | r | 1.17 | 0.81 0.83   248 |    OG14 |   OB254 |P 1 V Q R|
 2074875 | 16Bm07 Jan 29 02:57:32 17 | 17AP30 Nr0217_3  | 11:43:07.2  30:38:49 2000 |  30 | r | 1.03 | 0.72 0.75    69 |    OG45 |   OB651 |P 1 O D R|
 2074876 | 16Bm07 Jan 29 02:58:49 17 | 17AP30 Nr0217_3  | 11:43:07.2  30:38:49 2000 |  30 | r | 1.03 | 0.90 0.91    69 |    OG45 |   OB651 |P 1 O D R|
 2074877 | 16Bm07 Jan 29 03:02:05 17 | 17AP30 Nr0217_3  | 11:43:07.2  30:38:49 2000 | 151 | r | 1.03 | 0.71 0.72   347 |    OG45 |   OB651 |P 1 V D R|
 2074878 | 16Bm07 Jan 29 03:10:59 17 | 17AP30 Nr0219_3  | 11:52:09.6  30:38:49 2000 | 110 | r | 1.02 | 0.74 0.75   242 |    OG45 |   OB657 |P 1 V D R|
 2074879 | 16Bm07 Jan 29 03:13:34 17 | 17AP30 Nr0220_3  | 11:56:40.8  30:38:49 2000 | 108 | r | 1.03 | 0.75 0.77   238 |    OG45 |   OB660 |P 1 V D R|
 2074880 | 16Bm07 Jan 29 03:16:05 17 | 17AP30 Nr0221_3  | 12:01:12.0  30:38:49 2000 | 106 | r | 1.03 | 0.76 0.77   230 |    OG45 |   OB663 |P 1 V D R|
 2074881 | 16Bm07 Jan 29 03:18:39 17 | 17AP30 Nr0222_3  | 12:05:43.2  30:38:49 2000 | 108 | r | 1.03 | 0.80 0.81   236 |    OG45 |   OB666 |P 1 V D R|
 2074882 | 16Bm07 Jan 29 03:21:16 17 | 17AP30 Nr0223_3  | 12:10:14.4  30:38:49 2000 | 107 | r | 1.03 | 0.71 0.73   233 |    OG45 |   OB669 |P 1 V D R|
 2074883 | 16Bm07 Jan 29 03:22:31 17 | 17AP30 Nr0224_3  | 12:14:45.6  30:38:49 2000 |  30 | r | 1.03 | 0.74 0.74    65 |    OG48 |   OB672 |P 1 O D R|
 2074884 | 16Bm07 Jan 29 03:24:09 17 | 17AP30 Nr0224_3  | 12:14:45.6  30:38:49 2000 |  30 | r | 1.03 | 0.66 0.66    68 |    OG48 |   OB672 |P 1 O D R|
 2075087 | 16Bm07 Jan 30 00:31:49 17 | 17AP30 Nr0065_3  | 11:45:07.2  29:40:01 2000 |  30 | r | 1.33 | 0.89 0.91    95 |     OG9 |   OB195 |P 1 O Q R|
 2075088 | 16Bm07 Jan 30 00:33:04 17 | 17AP30 Nr0065_3  | 11:45:07.2  29:40:01 2000 |  30 | r | 1.33 | 0.96 0.99    94 |     OG9 |   OB195 |P 1 O Q R|
 2075089 | 16Bm07 Jan 30 00:35:29 17 | 17AP30 Nr0065_3  | 11:45:07.2  29:40:01 2000 | 100 | r | 1.32 | 0.95 0.97   307 |     OG9 |   OB195 |P 2 V Q R|
 2075090 | 16Bm07 Jan 30 00:40:13 17 | 17AP30 Nr0066_3  | 11:49:36.0  29:40:01 2000 | 240 | r | 1.33 | 0.87 0.89   742 |     OG9 |   OB198 |P 1 V Q R|
 2075091 | 16Bm07 Jan 30 00:45:14 17 | 17AP30 Nr0067_3  | 11:54:04.8  29:40:01 2000 | 256 | r | 1.33 | 0.86 0.88   779 |     OG9 |   OB201 |P 1 V Q R|
 2075092 | 16Bm07 Jan 30 00:48:56 17 | 17AP30 Nr0068_3  | 11:58:33.6  29:40:01 2000 | 177 | r | 1.33 | 0.89 0.92   541 |     OG9 |   OB204 |P 1 V Q R|
 2075093 | 16Bm07 Jan 30 00:53:06 17 | 17AP30 Nr0069_3  | 12:03:02.4  29:40:01 2000 | 206 | r | 1.33 | 0.79 0.81   622 |     OG9 |   OB207 |P 1 V Q R|
 2075094 | 16Bm07 Jan 30 00:56:29 17 | 17AP30 Nr0070_3  | 12:07:31.2  29:40:01 2000 | 158 | r | 1.33 | 0.88 0.90   483 |     OG9 |   OB210 |P 1 V Q R|
 2075095 | 16Bm07 Jan 30 00:59:56 17 | 17AP30 Nr0071_3  | 12:12:00.0  29:40:01 2000 | 160 | r | 1.34 | 0.89 0.90   492 |     OG9 |   OB213 |P 1 V Q R|
 2075096 | 16Bm07 Jan 30 01:01:11 17 | 17AP30 Nr0065_3  | 11:45:07.2  29:40:01 2000 |  30 | r | 1.22 | 0.83 0.84    90 |     OG9 |   OB195 |P 1 O Q R|
 2075097 | 16Bm07 Jan 30 01:02:29 17 | 17AP30 Nr0065_3  | 11:45:07.2  29:40:01 2000 |  30 | r | 1.22 | 0.94 0.95    89 |     OG9 |   OB195 |P 1 O Q R|
 2075098 | 16Bm07 Jan 30 01:04:55 17 | 17AP30 Nr0065_3  | 11:45:07.2  29:40:01 2000 | 100 | r | 1.21 | 0.95 0.97   295 |     OG9 |   OB195 |P 3 O Q R|
 2075099 | 16Bm07 Jan 30 01:08:27 17 | 17AP30 Nr0072_3  | 12:16:28.8  29:40:01 2000 | 113 | r | 1.31 | 0.92 0.94   341 |    OG12 |   OB216 |P 3 O Q R|
